85,75,61,43,Laughter
39,15,73,94,Laughter
94,88,98,7,Laughter
3,23,39,57,Laughter
69,4,48,99,Laughter
12,71,74,74,Laughter
81,97,83,90,Laughter
26,57,22,11,Laughter
12,55,47,33,Laughter
99,41,28,43,Laughter
83,52,91,24,Laughter
52,22,84,8,Laughter
56,25,41,19,Laughter
75,68,56,77,Laughter
59,97,43,69,Laughter
56,11,43,87,Laughter
20,99,91,24,Laughter
62,31,0,78,Laughter
90,52,76,77,Laughter
23,7,78,38,Laughter
21,83,15,52,Laughter
92,91,89,57,Laughter
91,64,8,41,Laughter
64,92,38,72,Laughter
36,17,28,72,Laughter
4,25,87,20,Laughter
60,84,70,43,Laughter
39,46,10,38,Laughter
6,90,99,40,Laughter
23,59,24,19,Laughter
3,86,56,99,Laughter
41,65,10,81,Laughter
48,75,23,77,Laughter
22,79,96,54,Laughter
51,77,34,82,Laughter
94,36,57,42,Laughter
86,21,41,81,Laughter
61,88,69,77,Laughter
63,99,35,24,Laughter
60,48,18,12,Laughter
79,26,66,84,Laughter
39,93,75,91,Laughter
60,51,8,49,Laughter
22,46,24,4,Laughter
48,58,37,86,Laughter
17,6,21,13,Laughter
85,19,79,29,Laughter
84,7,67,73,Laughter
62,79,6,93,Laughter
74,7,91,41,Laughter
99,50,47,90,Laughter
39,54,55,63,Laughter
52,54,48,86,Laughter
95,95,43,78,Laughter
38,15,0,53,Laughter
76,70,5,70,Laughter
47,63,40,82,Laughter
69,49,25,40,Laughter
31,35,60,53,Laughter
72,9,73,17,Laughter
66,73,19,12,Laughter
50,53,64,82,Laughter
56,95,19,64,Laughter
58,91,68,15,Laughter
13,93,55,53,Laughter
7,29,10,63,Laughter
24,53,56,44,Laughter
66,83,52,62,Laughter
36,36,80,55,Laughter
15,19,39,21,Laughter
84,15,91,85,Laughter
9,38,42,96,Laughter
51,31,30,88,Laughter
95,45,25,83,Laughter
43,3,4,95,Laughter
85,89,61,0,Laughter
47,62,21,45,Laughter
83,79,70,33,Laughter
71,65,21,78,Laughter
93,5,97,50,Laughter
23,48,98,37,Laughter
0,80,47,20,Laughter
91,88,24,20,Laughter
4,86,76,93,Laughter
92,29,75,5,Laughter
29,16,1,77,Laughter
6,94,64,11,Laughter
93,54,87,56,Laughter
92,11,70,3,Laughter
28,20,43,21,Laughter
28,63,60,58,Laughter
79,41,98,17,Laughter
86,61,93,0,Laughter
96,56,96,31,Laughter
8,1,76,10,Laughter
64,40,77,83,Laughter
90,68,3,97,Laughter
28,49,29,40,Laughter
62,0,88,79,Laughter
0,71,53,27,Laughter
16,61,77,9,Laughter
67,92,23,12,Laughter
27,45,18,36,Laughter
65,37,63,74,Laughter
44,28,53,21,Laughter
33,87,37,3,Laughter
60,42,29,75,Laughter
1,99,11,48,Laughter
72,36,62,10,Laughter
